37R,Daniela Hornaus,TriRun Family,0:56:25,RUN
33B,Karl Wakolm,Erymed Power Team,1:13:25,BIKE
28S,Peter Pötsch,BMW Classic,13:42,SWIM
40S,Margit Käferböck,Arbö Ladies,17:13,SWIM
32S,Stefan Jäger,FH Oberösterreich / Campus Hagenberg,21:06,SWIM
39R,Stefan Brungraber,Team Sepp`n Wirt,0:55:59,RUN
30R,Michaela Endmayr-Weber,RACE For Gold,1:13:44,RUN
40R,Klara Oberhumer,Arbö Ladies,0:58:26,RUN
25B,Harald Kindermann,FH Oberösterreich / Campus Steyr,1:26:12,BIKE
34S,Christoph Prem,ÖAMTC HRINKOW Bikes Steyr,11:59,SWIM
1B,Markus Durstberger,Dursti MP,1:39:09,BIKE
2B,Andreas Madlmair,SV Gallneukirchen,1:12:39,BIKE
34R,Stefan Füreder,ÖAMTC HRINKOW Bikes Steyr,0:40:03,RUN
39B,Alexander Tohati,Team Sepp`n Wirt,1:24:23,BIKE
2S,Julia Schaffelhofer,SV Gallneukirchen,14:57,SWIM
23R,Bianca Tomani,Ladies First,0:55:48,RUN
24S,Chantal Kiefer,FernFH,21:26,SWIM
29S,Judith Schmidsberger,Die Drei,14:53,SWIM
26R,Conrad Anderl,Ortho Express / Wanggo Endurance Team,0:47:09,RUN
24R,Walter Müllner,FernFH,0:48:16,RUN
28R,Joseph Honeder,BMW Classic,0:46:58,RUN
35B,Herta Mair,IRONTEAM Eferding Cell Active,1:26:28,BIKE
21B,Roman Burgsteiner,Die Atheisten,1:24:02,BIKE
40B,Doris Weiß,Arbö Ladies,1:30:05,BIKE
31B,Daniel Weinberger,Tri Team Kaiser 1,1:27:11,BIKE
23S,Joanna Planke,Ladies First,17:11,SWIM
24B,Walter Müllner,FernFH,1:27:12,BIKE
2R,Harald Seibert,SV Gallneukirchen,0:47:11,RUN
35R,Stephan Ott,IRONTEAM Eferding Cell Active,0:50:26,RUN
28B,Helmut Schürhagl,BMW Classic,1:16:18,BIKE
31R,Angelika Gottinger,Tri Team Kaiser 1,0:58:12,RUN
37S,Fabian Hornaus,TriRun Family,15:43,SWIM
13S,Carlo Pedersoli,Bud Spencer & Terence Hill,DNF,SWIM
37B,Hubert Lehenbauer,TriRun Family,1:18:30,BIKE
39S,Stefan Enzenebner,Team Sepp`n Wirt,18:33,SWIM
23B,Katrin Ecker,Ladies First,1:34:21,BIKE
26B,Daniel Pettinger,Ortho Express / Wanggo Endurance Team,1:05:38,BIKE
30B,Dietmar Endmayr,RACE For Gold,1:54:08,BIKE
21S,Michael Hausmann,Die Atheisten,20:22,SWIM
1S,Jakob Durstberger,Dursti MP,18:34,SWIM
38R,Christoph Strassmayer,Erstversuch,0:56:54,RUN
30S,Anne Weber,RACE For Gold,21:15,SWIM
33S,Thomas Skarzynski,Erymed Power Team,14:52,SWIM
21R,Wolfgang Pramhas,Die Atheisten,1:03:37,RUN
12B,Jan Ullrich,Doping Is Fun,Obviously disqualified...,BIKE
33R,Thomas Aichbauer,Erymed Power Team,0:44:38,RUN
29B,Manfred Mühlbacher,Die Drei,1:19:04,BIKE
25R,Werner Wetzlinger,FH Oberösterreich / Campus Steyr,0:47:50,RUN
32B,Klaus Schönberger,FH Oberösterreich / Campus Hagenberg,1:29:41,BIKE
35S,Erwin Schwarzbauer,IRONTEAM Eferding Cell Active,17:08,SWIM
29R,Thomas Pattinger,Die Drei,0:45:53,RUN
34B,Karl Tutschek,ÖAMTC HRINKOW Bikes Steyr,1:09:49,BIKE
26S,Daniela Weber,Ortho Express / Wanggo Endurance Team,19:02,SWIM
1R,Georg Durstberger,Dursti MP,0:56:22,RUN
25B,Harald Kindermann,FH Oberösterreich / Campus Steyr,1:26:12,BIKE
38B,Wolfgang Schneider,Erstversuch,1:26:16,BIKE
25S,Michal Karpowicz,FH Oberösterreich / Campus Steyr,17:03,SWIM
38S,Michael Kienberger,Erstversuch,20:31,SWIM
32R,Lukas Koblmüller,FH Oberösterreich / Campus Hagenberg,0:52:32,RUN
31S,Jaqueline Forster,Tri Team Kaiser 1,17:41,SWIM
